date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,hour,type_spec
04-Jun-2005,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing (Free diving),M,22,FATAL,Y,15h45,WHITE SHARK,News24.com; SABC; H. Steele,15,WHITE
02-Jun-2005,2005,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,,Two 2-inch lacerations on right foot,N,Morning,NAN,KRIS6 News,,
28-May-2005,2005,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,Left foot bitten,Y,17h30,"""SMALL SHARK""","Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3",17,
27-May-2005,2005,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" TO 36"" SHARK","D.Wilhoit, The Ledger, 5/29/ 2005",18,
25-May-2005,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,32,Left buttock  & legs lacerated ,Y,11h00,RAGGEDTOOTH SHARK,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News",11,
15-May-2005,2005,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Spearfishing,M ,,Severe injury to lower leg,N,,BLACKTIP SHARK,"J. Anderson, Townsville Bulletin, 5/21/2005 ",,BLACKTIP
14-May-2005,2005,Boating,USA,Hawaii,"North Kihei, Maui",Kayaking,,,"No injury, shark bit kayak",N,11h00,"TIGER SHARK, 8' TO 9' ",Hawaii Department of Land and Natural Resources,11,TIGER
03-May-2005,2005,Unprovoked,MADAGASCAR,,,Fishing,M,,Thigh bitten,N,,2.5 M SHARK,"Clicanoo, 5/6/2005, 5/7/2005",,
02-May-2005,2005,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,,No injury,N,,NAN,"Gaffney Ledger, 5/2/2005",,
02-May-2005,2005,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,"No injury, board damaged",N,10h30,"TIGER SHARK, 3 M [10']","T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 ",10,TIGER
25-Apr-2005,2005,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,Y,23h00,"MAKO SHARK, 1.5 M [5'] ","Brisbane Courier Mail, 4/26/2005",23,
17-Apr-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,,,Shark-bitten surfboard found adrift,Y,,NAN,"Illawarra Mercury, 4/17/2005",,
16-Apr-2005,2005,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Spearfishing,M,20,Minor cuts above his right eye,N,,2 M [6.75'] COPPER SHARK,"G. McLean, Northern Territory News; Sunday Territorian, 4/17/2005, p.6",,
16-Apr-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,40,"No injury, board bitten",N,06h10,BRONZE WHALER SHARK,The Sun; Illwarra Mercury; Yahoo News,06,BRONZE
13-Apr-2005,2005,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,Right lower leg bitten,N,,1.8 M [6'] BLACKTIP SHARK,Herald Tribune.com,,BLACKTIP
09-Apr-2005,2005,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,Foot injured ,N,,SHARK INVOLVEMENT NOT CONFIRMED,"WTSP TampaBays10.com; First Coast News, April 10, 2005 ",,
07-Apr-2005,2005,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,Left foot bitten ,Y,19h00,NAN,"G. Ferrario; J. Mendoza, Cameron County Parks; The Herald (Brownsville),  4/11/2005",19,
06-Apr-2005,2005,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Left calf injured,Y,,SMALL HAMMERHEAD SHARK,WJXT News4Jax.com,,
06-Apr-2005,2005,Invalid,HONDURAS,Bay Islands,Utila,SCUBA Diving,F,,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",N,,SHARK INVOLVEMENT NOT CONFIRMED,"J. Engel, SRI & S. Fox, Deep Blue",,
28-Mar-2005,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 M [13'] SHARK,"ITN, 3/30/2005",09,
Reported    27-Mar-2005,2005,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,,"No injury, shark rammed surfboard",N,,NAN,"Sunday Age, 3/27/2005",,
25-Mar-2005,2005,Unprovoked,VENEZUELA,,Punta Caracas,Surfing,M,,Right leg bitten,N,17h30,NAN,"A. Brenneka, GSAF",17,
19-Mar-2005,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,FATAL,Y,14h00,6 M [20'] WHITE SHARK,"T. Peake, GSAF",14,WHITE
12-Mar-2005,2005,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"SANDTIGER SHARK, 2.1 M [7'] ","H. Casman; T. Dukart, KOBTV",15,SAND
10-Mar-2005,2005,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,,M,51,Bites by 2.5 m tiger shark were post mortem,N,,INVALID,"J. Govander, Nokia Sea Rescue, SAPA",,
09-Mar-2005,2005,Provoked,NEW ZEALAND,North Island,"Waiapu River mouth , East Cape",Fishing,M,,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,"BRONZE WHALER SHARK, 4.3 M [14'] ","R.D. Weeks, GSAF",14,BRONZE
05-Mar-2005,2005,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,,Diving,M,,Thighs bitten,N,,NAN,"Solomon Star, 3/9/2005",,
26-Feb-2005,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,Finger bitten,N,,BULL SHARK,Queensland Times,,BULL
22-Feb-2005,2005,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"NURSE SHARK, 3' ",http://www.foldabikes.com/CurrentEvents/Story/Florida.html,,NURSE
16-Feb-2005,2005,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"TIGER SHARK, 2.4 M [8']"," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 ",14,TIGER
13-Feb-2005,2005,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,,Hand bitten,N,,1.8 M [6'] CARIBBEAN REEF SHARK,J. Herrera,,CARIBBEAN
04-Feb-2005,2005,Unprovoked,BRAZIL,Bahia,Ilhéus,Surfing,M,12,Right thigh & ankle injured,N,,NAN,"Orlando Sentinel, 2/5/2005, p.A6",,
20-Jan-2005,2005,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,19,Left foot severed,Y,,3 M [10'] SHARK,Cuba News,,
19-Jan-2005,2005,Provoked,AUSTRALIA,Victoria,Port Phillip Bay,Spearfishing,M,,No injury. Towed by speared shark PROVOKED INCIDENT,N,,3 M SHARK,Herald Sun News,,
14-Jan-2005,2005,Provoked,AUSTRALIA,Victoria,Blairgowrie,Attempting to drive shark away from sailing regatta,,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",Y,14h00,"BRONZE WHALER SHARK, 2 M TO 3 M [6.75' TO 10']  ",Herald Sun News,14,BRONZE
08-Jan-2005,2005,Boating,NEW ZEALAND,North Island,Taupiri Bay,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,WHITE SHARK,"R. Collier & R.D. Weeks, GSAF                ",12,WHITE
26-Dec-2004,2004,Invalid,SRI LANKA,Eastern Province,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,No injury,N,,NO SHARK INVOLVEMENT,"R.D. Weeks, GSAF",,
16-Dec-2004,2004,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 M & 5 M WHITE SHARK ,"P. Kemp & T. Peake, GSAF",15,WHITE
11-Dec-2004,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,BULL SHARK,"Weekend Australian, 2/17/2005, et al.",13,BULL
27-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,RAGGEDTOOTH SHARK,J. Eager,18,
26-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,,RAGGEDTOOTH SHARK,J. Eager,,
15-Nov-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 M [20'] WHITE SHARK,"J.P. Botha, GSAF",07,WHITE
11-Nov-2004,2004,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 M [18'] WHITE SHARK,"R. Collier, GSAF                ",13,WHITE
11-Nov-2004,2004,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30,Thigh bitten,N,09h00,NAN,"R. Harris, M.D., T. Peake, GSAF",09,
Nov-2004,2004,Unprovoked,NEW CALEDONIA,North Province,Koumac,Diving,,,Forearm bitten,N,,3 M SHARK,"Les Nouvelles Caledoniennes, 11/19/2004",,
31-Oct-2004,2004,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,Left forearm bitten,Y,14h00,2.5 M [8.25'] BULL SHARK,"E. Ritter, GSAF",14,BULL
30-Oct-2004,2004,Invalid,NEW ZEALAND,North Island,Whangarei,,,,No injury,N,,INVALID,"New Zealand Herald, 11/24/2004/15/2004",,
30-Oct-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 M [6.75'] WHITE SHARK,"J.P. Botha, GSAF",,WHITE
21-Oct-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"BRONZE WHALER SHARK, 2.4 M [8'] ","The Border Mail, 10/23/2004",,BRONZE
10-Oct-2004,2004,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Lower leg bitten,N,09h30,1.8 M TO 2.4 M [6' TO 8'] WHITE SHARK,"R. Collier, GSAF",09,WHITE
09-Oct-2004,2004,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,Y,12h40,"TIGER SHARK, 2.4 M TO 3.7 M [8' TO 12'] ","The Maui News, 10/10/2004 ",12,TIGER
09-Oct-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey’s Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"RAGGEDTOOTH SHARK, 1.5 TO 2 M [5' TO 6.75']","Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004",,
06-Oct-2004,2004,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,THOUGHT TO INVOLVE A 2.5 M BULL OR TIGER SHARK,Federation Francaise de Surf,16,BULL
02-Oct-2004,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,NAN,"R. Collier, GSAF",15,
01-Oct-2004,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,NAN,"R. Collier, GSAF",14,
25-Sep-2004,2004,Boat,AUSTRALIA,Queensland,Batt Reef,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"TIGER SHARK, 3 M [10'] ","R. Collier, GSAF",12,TIGER
20-Sep-2004,2004,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,WHITE SHARK,"S. Mead, R. Collier, J. Eager, B. Middleton",09,WHITE
10-Sep-2004,2004,Invalid,USA,Texas,South Padre Island,Surf fishing,M,,Minor scratch on calf,N,Between 05h00 and 08h00,SHARK INVOLVEMENT QUESTIONABLE,M. Shields,05,
08-Sep-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Swimming,,,FATAL,Y,,NAN,JCOnline,,
04-Sep-2004,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,Left knee & leg bitten,Y,15h40,2.4 M [8'] SHARK,"C. Creswell, GSAF",15,
29-Aug-2004,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,NAN,"T. Jerome, GSAF; Daytona Beach News Journal, 8/31/2004",17,
21-Aug-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,Calf bitten & both hands injured,N,13h00,"TIGER SHARK, 1.5 M ","P. M. Lopes, GSAF, 8/22/2004",13,TIGER
20-Aug-2004,2004,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Foot bitten,N,17h30,0.9 M TO 1.2 M [3' TO 4'] WHITE SHARK,"R. Collier, GSAF",17,WHITE
15-Aug-2004,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 M TO 5.5 M [16' TO 18'] WHITE SHARK,"R. Collier & L. Levine, GSAF",16,WHITE
06-Aug-2004,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",Y,20h30,1.2 M [4'] SHARK,"T. Jerome, GSAF",20,
03-Aug-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,NAN,"T. Peake, GSAF",14,
Aug-2004,2004,Boat,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,,,No injury to occupants; boat damaged,N,,3 M TO 4 M [10' TO 13']  WHITE SHARK,"J. Eager, scubaradio.com",,WHITE
31-Jul-2004,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,NAN,"C. Creswell, GSAF",13,
30-Jul-2004,2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",Diving & fishing with net,M,,Thigh & calf bitten,N,,WHITE SHARK,"M. Gozum & J. Eager, scubaradio.com",,WHITE
28-Jul-2004,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,Right calf bitten,N,17h30,NAN,"C.Delneo, C. Creswell, M. Levine, R. Collier, GSAF",17,
27-Jul-2004,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 M [6'] SHARK,"C. Creswell, GSAF",17,
27-Jul-2004,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,Right foot bitten,N,16h30,1.2 M TO 1.5 M [4' TO 5'] SHARK,KETK56 News,16,
25-Jul-2004,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,BULL SHARK,KRISTV.com,19,BULL
" 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,Boating,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 M [13'] WHITE SHARK,"Channel 9; Northern Territory News, 7/20/2004, p.10 ",,WHITE
15-Jul-2004 ,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"LONGFIN MAKO SHARK, 3.5 M [11.5'], 350-KG [772-LB] ","Mainichi Shimbun, 7/17/2004 ",,
10-Jul-2004,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 SHARKS, 4.5 M & 3 M ","T. Peake, GSAF",14,
02-Jul-2004,2004,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,F,,Hand severed,N,,"""BLACK TIPPED"" SHARK","E. Ritter, GSAF; iwindsurf.co.uk",,
02-Jul-2004,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,,Right foot lacerated,N,16h40,4' TO 5' SHARK,"C. Creswell, GSAF",16,
26-Jun-2004,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" WHITE SHARK",R. Collier; GSAF,09,WHITE
26-Jun-2004,2004,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",N,,INVALID,"T. Peake, GSAF; Sunday Times (Perth)  6/27/2004, p.11",,
14-Jun-2004,2004,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,,Foot bitten,N,,NAN,Global Lifeguards,,
10-Jun-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"BRONZE WHALER SHARK, 2.5 M [8.25'] ","T. Peake, GSAF",,BRONZE
10-Jun-2004,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,,Right wrist  & left arm lacerated,Y,18h00,1.2 M [4'] SHARK,"T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C",18,
02-Jun-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,WHITE SHARK,"J. Smetherham & B. Ndenze, Cape Times",15,WHITE
29-May-2004,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,Puncture wounds on shin,N,19h45,0.9 M TO 1.5 M [3' TO 5'] SHARK,J. David,19,
23-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",Y,14h30,BULL SHARK,"P. M. Lopes, GSAF; JC, 5/24/2004",14,BULL
28-May-2004,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 M TO 3.7 M [8' TO 12'] SHARK,"R. Collier, GSAF; B. Connor, Jr.",11,
23-May-2004,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,,Calf & foot lacerated,N,12h30,NAN,News4Jax,12,
22-May-2004,2004,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,,Single puncture wound on the foot,N,,SHARK INVOLVEMENT NOT CONFIRMED,"T. Jerome, GSAF",,
22-May-2004,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Foot bitten,N,Afternoon,NAN,First Coast News,,
22-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,Hips & thighs bitten,N,16h00,NAN,"P.M. Lopes, GSAF, JC, 5/23/2004",16,
18-May-2004,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,Y,15h00,"1,5 M [5'] CARIBBEAN REEF SHARK (CARCHARHINUS  PEREZI)","W. Leander, M. Levine, GSAF",15,CARIBBEAN
04-May-2004,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"MAKO SHARK, 1.8 M [6']",G. Gore & M. Sturdevant,16,
01-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,22,FATAL,Y,Afternoon,NAN,"JCOnline, 5/2/2004",,
26-Apr-2004,2004,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",Diving,M,,Puncture wounds on wrist,N,Morning,"WOBBEGONG SHARK, 1.2 M [4'] K","T. Peake, GSAF",,WOBBEGONG
22-Apr-2004,2004,Boat,NEW ZEALAND,North Island,Motunui,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"WHITE SHARK, 5.5 M [18']","T. Peake, GSAF",,WHITE
13-Apr-2004,2004,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,SMALL SHARKS,"New Zealand Herald, 4/15/2004",,
13-Apr-2004,2004,Invalid, TONGA,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",N,,QUESTIONABLE INCIDENT,"New Zealand Herald, 4/15/2004",,
07-Apr-2004,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,TIGER SHARK,"L. Fujimoto, B. Perry & M. Tanji, Maui News ",07,TIGER
05-Apr-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",Y,14h00,5 M [16.5'] WHITE SHARK,"L. Compagno & E. Ritter, GSAF",14,WHITE
04-Apr-2004,2004,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",N,,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,"R. Antone, Honolulu Star Bulletin",,
31-Mar-2004,2004,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,26,Right foot bitten,N,,NAN,"D. Davies, Palm Beach Post, 6/3/2004",,
31-Mar-2004,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 M [4'] BULL SHARK,"T. Jerome, GSAF; Palm Beach Post,  4/1/2004",09,BULL
29-Mar-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",Y,07h30,BULL SHARK,"P.M. Lopes, GSAF; Diaro, 3/30/2004",07,BULL
28-Mar-2004,2004,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,,Heel bitten,N,15h00,BULL SHARK,"J.D. Gallop, Florida Today",15,BULL
27-Mar-2004,2004,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 M SHARK,"Clicanoo, le journal  de l'Ile de la Réunion",17,
27-Mar-2004,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,NAN,"T. Jerome, GSAF",08,
14-Mar-2004,2004,Unprovoked,USA,Hawaii,Punaluu,Snorkeling,F,,Lacerations to left foot,Y,10h00,1.8 M [6'] SHARK,Hawaii Department of Land and Natural Resources,10,
22-Mar-2004,2004,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,M,,No injury,N,12h30,BRONZE WHALER SHARK,J. Edgar,12,BRONZE
16-Mar-2004,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"TIGER SHARK, 2.4 M TO 3 M [8' TO 10'] ",The Hawaii Channel,07,TIGER
06-Mar-2004,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,,"BRONZE WHALER SHARK, 1.5 M [5'] ","T. Peake, GSAF; Sunday Times (Perth) 3/7/2004, p.19",,BRONZE
29-Feb-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,NAN,"P. M. Lopez, GSAF; Northern Territory News, 3/2/2004, p.11",15,
26-Feb-2004,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,19h00,2 M [6.75'] SEVENGILL  SHARK,"R.D. Weeks, GSAF; NZ Herald",19,
21-Feb-2004,2004,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",Swimming,M,,Three toes lacerated,N,,NAN,Manning River Times,,
16-Feb-2004,2004,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",N,11h00,SHARK INVOLVEMENT NOT CONFIRMED,"news.com.au; Northern Territory News, 2/18/2004, p.10; Sunday Territorian, 2/22/2004, p.9; ",11,
14-Feb-2004,2004,Unprovoked,EGYPT,,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,,FATAL,Y,,NAN,divernet.com,,
11-Feb-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,,"60 CM [23.6""] BLIND OR BROWN SHARK","T. Peake, GSAF",,
25-Jan-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,Y,11h05,4 M TO 5 M [13' TO 16.5'] WHITE SHARK,"T. Peake, GSAF",11,WHITE
23-Jan-2004,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,POSSIBILY A  1.5 TO 2 M SANDTIGER SHARK,C.M. Prigioni el al,,SAND
22-Jan-2004,2004,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,,"No injury, swim fin damaged",N,,SHARK INVOLVEMENT DOUBTFUL,The Northlands,,
21-Jan-2004,2004,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,,Lower back & hand bitten,N,14h30,"BULL SHARK, 1.65 M [5'5""] WAS SPEARED & KILLED","D. Ramierez, GSAF       ",14,BULL
21-Jan-2004,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,11h00,"BULL SHARK, 132-KG [291-LB] ","D. Ramierez, GSAF       ",11,BULL
Reported 15-Jan-2004 ,2004,Boating,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"MAKO SHARK, 3 M TO 4 M [10' TO 13'] ",surfski.co.nz,,
